month	total number of job postings	company
2012-Sep	88	the.bank.of.new.york.mellon
2012-Oct	173	the.bank.of.new.york.mellon
2012-Nov	70	the.bank.of.new.york.mellon
2012-Dec	101	the.bank.of.new.york.mellon
2013-Jan	109	the.bank.of.new.york.mellon
2013-Feb	148	the.bank.of.new.york.mellon
2013-Mar	122	the.bank.of.new.york.mellon
2013-Apr	45	the.bank.of.new.york.mellon
2013-May	87	the.bank.of.new.york.mellon
2013-Jun	51	the.bank.of.new.york.mellon
2013-Jul	321	the.bank.of.new.york.mellon
2013-Aug	184	the.bank.of.new.york.mellon
2013-Sep	266	the.bank.of.new.york.mellon
2013-Oct	168	the.bank.of.new.york.mellon
2013-Nov	175	the.bank.of.new.york.mellon
2013-Dec	140	the.bank.of.new.york.mellon
2014-Jan	184	the.bank.of.new.york.mellon
2014-Feb	104	the.bank.of.new.york.mellon
2014-Mar	260	the.bank.of.new.york.mellon
2014-Apr	175	the.bank.of.new.york.mellon
2014-May	117	the.bank.of.new.york.mellon
2014-Jun	181	the.bank.of.new.york.mellon
2014-Jul	63	the.bank.of.new.york.mellon
2014-Aug	184	the.bank.of.new.york.mellon
2014-Sep	111	the.bank.of.new.york.mellon
2014-Oct	99	the.bank.of.new.york.mellon
2014-Nov	92	the.bank.of.new.york.mellon
2014-Dec	70	the.bank.of.new.york.mellon
2015-Jan	83	the.bank.of.new.york.mellon
2015-Feb	130	the.bank.of.new.york.mellon
2015-Mar	193	the.bank.of.new.york.mellon
2015-Apr	156	the.bank.of.new.york.mellon
2015-May	89	the.bank.of.new.york.mellon
2015-Jun	126	the.bank.of.new.york.mellon
2015-Jul	131	the.bank.of.new.york.mellon
2015-Aug	262	the.bank.of.new.york.mellon
2015-Sep	164	the.bank.of.new.york.mellon
2015-Oct	155	the.bank.of.new.york.mellon
2015-Nov	134	the.bank.of.new.york.mellon
2015-Dec	205	the.bank.of.new.york.mellon
2016-Jan	82	the.bank.of.new.york.mellon
2016-Feb	132	the.bank.of.new.york.mellon
2016-Mar	236	the.bank.of.new.york.mellon
2016-Apr	206	the.bank.of.new.york.mellon
2016-May	132	the.bank.of.new.york.mellon
2016-Jun	260	the.bank.of.new.york.mellon
2012-Jan	22	ubs
2012-Feb	13	ubs
2012-Mar	23	ubs
2012-Apr	18	ubs
2012-May	14	ubs
2012-Jun	11	ubs
2012-Jul	21	ubs
2012-Aug	11	ubs
2012-Sep	6	ubs
2012-Oct	15	ubs
2012-Nov	8	ubs
2012-Dec	8	ubs
2013-Jan	21	ubs
2013-Feb	19	ubs
2013-Mar	18	ubs
2013-Apr	44	ubs
2013-May	33	ubs
2013-Jun	55	ubs
2013-Jul	19	ubs
2013-Aug	16	ubs
2013-Sep	21	ubs
2013-Oct	28	ubs
2013-Nov	23	ubs
2013-Dec	22	ubs
2014-Jan	21	ubs
2014-Feb	27	ubs
2014-Mar	114	ubs
2014-Apr	68	ubs
2014-May	49	ubs
2014-Jun	57	ubs
2014-Jul	39	ubs
2014-Aug	41	ubs
2014-Sep	54	ubs
2014-Oct	53	ubs
2014-Dec	6	ubs
2015-Jan	67	ubs
2015-Feb	32	ubs
2015-Mar	57	ubs
2015-Apr	42	ubs
2015-May	35	ubs
2015-Jun	46	ubs
2015-Jul	56	ubs
2015-Aug	21	ubs
2015-Sep	51	ubs
2015-Oct	43	ubs
2015-Nov	39	ubs
2015-Dec	40	ubs
2016-Jan	21	ubs
2016-Feb	28	ubs
2016-Mar	19	ubs
2016-Apr	9	ubs
2016-May	62	ubs
2016-Jun	17	ubs
